
2025/03/04 (14:37:57) | ===> btop++ v.1.4.0
2025/03/04 (14:37:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (14:38:20) | ===> btop++ v.1.4.0
2025/03/04 (14:38:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (14:38:27) | ===> btop++ v.1.4.0
2025/03/04 (14:38:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (08:42:53) | ===> btop++ v.1.4.0
2025/03/05 (08:42:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (10:13:03) | ===> btop++ v.1.4.0
2025/03/07 (10:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (10:13:17) | ===> btop++ v.1.4.0
2025/03/07 (10:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (10:13:26) | ===> btop++ v.1.4.0
2025/03/07 (10:13:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (10:14:11) | ===> btop++ v.1.4.0
2025/03/07 (10:14:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (00:02:38) | ===> btop++ v.1.4.0
2025/04/06 (00:02:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (08:19:16) | ===> btop++ v.1.4.0
2025/04/09 (08:19:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (08:38:51) | ===> btop++ v.1.4.0
2025/04/09 (08:38:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (10:12:46) | ===> btop++ v.1.4.0
2025/04/09 (10:12:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/09 (10:12:51) | WARNING: Failed to join _runner thread on exit!

2025/04/12 (01:11:36) | ===> btop++ v.1.4.0
2025/04/12 (01:11:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (17:51:50) | ===> btop++ v.1.4.0
2025/04/12 (17:51:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (16:37:23) | ===> btop++ v.1.4.0
2025/04/15 (16:37:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (00:38:12) | ===> btop++ v.1.4.0
2025/04/16 (00:38:12) | WARNING: Intel GPU: Failed to initialize PMU
